,first_name,second_name,id,full_names,selected,cost
521,Paulo,Gazzaniga,536,Paulo_Gazzaniga_536,0,0
522,Alfie,Whiteman,538,Alfie_Whiteman_538,0,0
523,Oliver,Skipp,540,Oliver_Skipp_540,0,0
524,Juan,Foyth,549,Juan_Foyth_549,0,0
525,Timothy,Eyoma,561,Timothy_Eyoma_561,0,0
526,Kazaiah,Sterling,578,Kazaiah_Sterling_578,0,0
527,George,Marsh,612,George_Marsh_612,0,0
528,Vincent,Janssen,614,Vincent_Janssen_614,0,0
529,Heurelho,Gomes,373,Heurelho_Gomes_373,22758,45
530,Pontus,Dahlberg,374,Pontus_Dahlberg_374,3773,45
531,Younes,Kaboul,375,Younes_Kaboul_375,10718,45
532,Craig,Cathcart,376,Craig_Cathcart_376,4273,45
533,Sebastian,Prödl,377,Sebastian_Prödl_377,9721,45
534,José,Holebas,378,José_Holebas_378,24697,45
535,Miguel,Britos,379,Miguel_Britos_379,4748,45
536,Christian,Kabasele,380,Christian_Kabasele_380,34071,45
537,Daryl,Janmaat,381,Daryl_Janmaat_381,24868,50
538,Adrian,Mariappa,382,Adrian_Mariappa_382,11219,45
