,full_name,selected
498,Josh_Sims,4891.0
499,Matthew_James,0.0
500,Andrew_Eleftheriou,0.0
501,Domingos_Quina,3648.0
502,Aaron_Wan-Bissaka,652304.0
503,Jonjoe_Kenny,11386.0
504,Declan_Rice,16061.0
505,Brandon_Mason,0.0
506,Michael_Folivi,0.0
507,Ademola_Lookman,12390.0
508,Evandro_Goebel,0.0
509,Gabriel_Jesus,121425.0
510,Joey_Barton,0.0
511,Rudy_Gestede,0.0
512,Wilfred_Ndidi,33600.0
513,Luciano_Narsingh,0.0
514,Martin_Olsson,0.0
515,Omar_Elabdellaoui,0.0
516,Andrea_Ranocchia,0.0
517,Joleon_Lescott,0.0
518,M'Baye_Niang,0.0
519,Mauro_Zárate,0.0
520,Thomas_Edwards,0.0
521,Alfred_N'Diaye,0.0
522,Ashley_Westwood,9023.0
523,Baily_Cargill,0.0
524,Jordan_Ayew,23777.0
525,Kamil_Grosicki,0.0
526,Luka_Milivojević,465750.0
527,Manolo_Gabbiadini,18085.0
528,Molla_Wagué,0.0
529,Robbie_Brady,1913.0
530,Daniel_Agyei,0.0
531,Martín_Cáceres,0.0
532,Harry_Wilson,0.0
533,Connor_Roberts,0.0
534,Axel_Tuanzebe,0.0
535,Damian Emiliano_Martinez,0.0
536,Dion_Pereira,0.0
537,James_Husband,0.0
538,Joel Dinis_Castro Pereira,0.0
539,Nathan_Holland,0.0
540,Angus_Gunn,12989.0
541,Scott_McTominay,39595.0
542,Demetri_Mitchell,0.0
543,Filip_Lesniak,0.0
544,Aaron_Ramsdale,0.0
545,Angel_Gomes,0.0
546,Joshua_Harrop,0.0
547,Matthew_Worthington,0.0
548,Sam_Surridge,0.0
549,Aaron_Mooy,192110.0
550,Ahmed El-Sayed_Hegazi,0.0
551,Aleksandar_Mitrović,294873.0
552,Alexandre_Lacazette,200168.0
553,Andreas_Christensen,61061.0
554,Anthony_Knockaert,23952.0
555,Antonio_Rüdiger,135804.0
556,Ayoze_Pérez,146474.0
557,Benjamin_Mendy,440329.0
558,Beram_Kayal,5338.0
559,Bernardo_Silva,312286.0
560,Brahim_Diaz,2951.0
561,Bruno,14542.0
562,Chancel_Mbemba,12652.0
563,Charlie_Taylor,11525.0
564,Charly_Musonda,0.0
565,Christian_Atsu,9385.0
566,Christopher_Schindler,164951.0
567,Chris_Löwe,8906.0
568,Ciaran_Clark,10582.0
569,Collin_Quaner,281907.0
570,Connor_Goldson,0.0
571,Dale_Stephens,549320.0
572,Danilo,53010.0
573,Danny_Williams,562.0
574,Davy_Klaassen,802.0
575,Davy_Pröpper,8887.0
576,Dean_Whitehead,0.0
577,Dwight_Gayle,10803.0
578,Ederson,796937.0
579,Elias_Kachunga,5521.0
580,Eric Maxim_Choupo-Moting,0.0
581,Fikayo_Tomori,0.0
582,Florian_Lejeune,1440.0
583,Kiko_Femenía,25857.0
584,Gaëtan_Bong,8038.0
585,Glenn_Murray,36707.0
586,Grant_Hanley,0.0
587,Isaac_Hayden,11288.0
588,Isaiah_Brown,0.0
589,Jacob_Murphy,2929.0
590,Jairo_Riedewald,4442.0
591,Jamaal_Lascelles,423390.0
592,Jamie_Murphy,0.0
593,Jan_Bednarek,264706.0
594,Javier_Hernández,118570.0
595,Jesús_Gámez Duarte,0.0
596,Joel_Coleman,0.0
597,Joe_Lolley,0.0
598,Jon_Gorenc Stankovic,0.0
599,Jonas_Lössl,100431.0
600,Jonathan_Hogg,14503.0
601,Jonjo_Shelvey,51885.0
602,Karl_Darlow,4954.0
603,Kasey_Palmer,0.0
604,Kyle_Bartley,0.0
605,Kyle_Walker-Peters,22811.0
606,Laurent_Depoitre,67727.0
607,Lewis_Dunk,152747.0
608,Liam_Rosenior,0.0
609,Mario_Lemina,9971.0
610,Markus_Suttner,413157.0
611,Martin_Cranie,0.0
612,Massadio_Haidara,0.0
613,Mathew_Ryan,257273.0
614,Mathias_Jorgensen,479775.0
615,Matty_James,1207.0
616,Matt_Ritchie,46207.0
617,Michael_Hefele,0.0
618,Mikel_Merino,97.0
619,Mohamed_Salah,2478960.0
620,Nahki_Wells,101406.0
621,Oliver_Norwood,0.0
622,Pascal_Groß,364302.0
623,Paul_Dummett,9349.0
624,Philip_Billing,5761.0
625,Phil_Foden,14777.0
626,Rajiv_van La Parra,3926.0
627,Reiss_Nelson,33287.0
628,Richarlison,872082.0
629,Robert_Elliot,16575.0
630,Rolando_Aarons,0.0
631,Roque_Mesa,0.0
632,Sam_Baldock,21608.0
633,Sandro_Ramírez,11104.0
634,Scott_Malone,249139.0
635,Sead_Kolasinac,32166.0
636,Shane_Duffy,153522.0
637,Solly_March,3712.0
638,Steve_Mounié,11803.0
639,Tammy_Abraham,7919.0
640,Tiemoué_Bakayoko,14331.0
641,Tomer_Hemed,11200.0
642,Tommy_Smith,5090.0
643,Tom_Ince,1025.0
644,Uwe_Hünemeier,0.0
645,Vicente_Iborra,3960.0
646,Victor_Lindelöf,56146.0
647,Will_Hughes,25044.0
648,Álvaro_Morata,151388.0
649,Abdelhamid_Sabiri,3471.0
650,Aleksandar_Dragovic,0.0
651,André_Carrillo,0.0
652,Beni_Baningime,2914.0
653,Chris_Wood,24309.0
654,Danny_Ward,15437.0
655,Davide_Zappacosta,14783.0
656,Davinson_Sánchez,122431.0
657,Eddie_Nketiah,0.0
658,Ethan_Ampadu,3328.0
659,Ezequiel_Schelotto,118425.0
660,Florent_Hadergjonaj,4294.0
661,Grzegorz_Krychowiak,0.0
662,Henri_Saivet,0.0
663,Jesé_Rodríguez Ruiz,0.0
664,José_Izquierdo,11081.0
665,Juan_Foyth,0.0
666,Levi_Lumeka,0.0
667,Marvin_Zeegelaar,5698.0
668,Nikola_Vlasic,1737.0
669,Oliver_Burke,0.0
670,Orestis_Karnezis,0.0
671,Renato_Sanches,0.0
672,Serge_Aurier,49004.0
673,Tim_Krul,0.0
674,Wesley_Hoedt,19002.0
675,Jack_Simpson,257252.0
676,Hamza_Choudhury,5517.0
677,Ben_Johnson,0.0
678,Callum_Hudson-Odoi,119739.0
679,Adrien_Silva,10282.0
680,Cenk_Tosun,302582.0
681,Konstantinos_Mavropanos,10713.0
682,Moritz_Bauer,0.0
683,Terence_Kongolo,12335.0
684,Fousseni_Diabaté,3158.0
685,Konstantinos_Stafylidis,0.0
686,Michael_Obafemi,0.0
687,Aymeric_Laporte,55175.0
688,Guido_Carrillo,196.0
689,João Mário_Naval Costa Eduardo,0.0
690,Jürgen_Locadia,5404.0
691,Alexander_Sørloth,14555.0
692,Dodi_Lukebakio,0.0
693,Emerson_Palmieri,9242.0
694,Jordan_Hugill,1133.0
695,Lucas_Moura,108496.0
696,Martin_Dubravka,18497.0
697,Papa Alioune_Ndiaye,0.0
698,Pierre-Emerick_Aubameyang,924935.0
699,Lukas_Nmecha,0.0
700,Patrice_Evra,0.0
701,Tyrese_Campbell,0.0
702,Joe_Willock,0.0
703,Grady_Diangana,0.0
704,Lasse_Sorenson,0.0
705,Curtis_Jones,0.0
706,Rafael_Camacho,0.0
707,Harvey_Barnes,0.0
708,Dwight_McNeil,0.0
709,Aboubakar_Kamara,499362.0
710,Adama_Diakhaby,2723.0
711,Adam_Masina,5629.0
712,Alireza_Jahanbakhsh,76058.0
713,Alisson,629624.0
714,Andriy_Yarmolenko,48425.0
715,André_Gomes,17237.0
716,André-Frank_Zambo Anguissa,6826.0
717,André_Schürrle,316359.0
718,Aron_Gunnarsson,66660.0
719,Jazz_Richards,47860.0
720,Bernardo,10711.0
721,Bernard,20094.0
722,Bernd_Leno,110646.0
723,Bobby_Reid,33401.0
724,Léo_Bonatini,46942.0
725,Bruno_Ecuele Manga,5192.0
726,Callum_Paterson,8529.0
727,Carlos_Sánchez,15025.0
728,Conor_Coady,30913.0
729,Cyrus_Christie,14289.0
730,Junior_Hoilett,20590.0
731,David_Brooks,3963.0
732,David_Button,85325.0
733,David_De Gea,1357478.0
734,Denis_Odoi,12353.0
735,Diego_Rico,1514.0
736,Diogo_Jota,314441.0
737,Erik_Durm,13149.0
738,Fabian_Schär,17090.0
739,Fabinho,51015.0
740,Fabián_Balbuena,16348.0
741,Felipe_Anderson,183158.0
742,Florin_Andone,4566.0
743,Floyd_Ayité,8882.0
744,Fred,232569.0
745,Gary_Madine,51829.0
746,Greg_Cunningham,4968.0
747,Hélder_Costa,40560.0
748,Ibrahima_Cissé,0.0
749,Isaac_Mbenza,904.0
750,Isaac_Success Ajayi,0.0
751,Issa_Diop,46623.0
752,Ivan_Cavaleiro,7490.0
753,James_Maddison,32765.0
754,Jannik_Vestergaard,29273.0
755,Jean_Seri,95248.0
756,Jefferson_Lerma,15473.0
757,Joe_Bennett,8863.0
758,Joe_Bryan,8061.0
759,Joe_Ralls,17494.0
760,John_Ruddy,24845.0
761,Jonny_Castro,29970.0
762,Jorginho,396333.0
763,Josh_Murphy,14017.0
764,Diogo_Dalot,2241.0
765,João_Moutinho,87926.0
766,Juninho_Bacuna,7863.0
767,Kenneth_Zohore,36149.0
