,full_name,squad,selected,position,team_code
379,Marcus_Rashford,Manchester Utd,515309.0,4.0,16
380,Tim_Ream,Fulham,22808.0,2.0,14
381,Nathan_Redmond,Southampton,24948.0,3.0,10
382,Bobby_Reid,Cardiff City,33401.0,4.0,11
383,Declan_Rice,West Ham,16061.0,3.0,8
384,Jazz_Richards,Cardiff City,47860.0,2.0,11
385,Richarlison,Everton,872082.0,3.0,17
386,Diego_Rico,Bournemouth,1514.0,2.0,2
387,Sergio_Rico,Fulham,11256.0,1.0,14
388,Matt_Ritchie,Newcastle Utd,46207.0,3.0,6
389,Andrew_Robertson,Liverpool,720845.0,2.0,5
390,Marcos_Rojo,Manchester Utd,5350.0,2.0,16
391,Oriol_Romeu,Southampton,140250.0,3.0,10
392,Salomón_Rondón,Newcastle Utd,73303.0,4.0,6
393,Danny_Rose,Tottenham,69060.0,2.0,4
394,Aaron_Rowe,Huddersfield,0.0,3.0,15
395,John_Ruddy,Wolves,24845.0,1.0,19
396,Antonio_Rüdiger,Chelsea,135804.0,2.0,7
397,Mathew_Ryan,Brighton,257273.0,1.0,9
398,Abdelhamid_Sabiri,Huddersfield,3471.0,3.0,15
399,Romain_Saïss,Wolves,13736.0,2.0,19
400,Bukayo_Saka,Arsenal,0.0,3.0,12
401,Mamadou_Sakho,Crystal Palace,67303.0,2.0,13
402,Bakary_Sako,Crystal Palace,1455.0,3.0,13
403,Mohamed_Salah,Liverpool,2478960.0,3.0,5
404,Alexis_Sánchez,Manchester Utd,474589.0,3.0,16
405,Carlos_Sánchez,West Ham,15025.0,3.0,8
406,Davinson_Sánchez,Tottenham,122431.0,2.0,4
407,Leroy_Sané,Manchester City,663136.0,3.0,1
408,Fabian_Schär,Newcastle Utd,17090.0,2.0,6
409,Christopher_Schindler,Huddersfield,164951.0,2.0,15
410,Jeffrey_Schlupp,Crystal Palace,29820.0,2.0,13
411,Kasper_Schmeichel,Leicester City,230133.0,1.0,3
412,Morgan_Schneiderlin,Everton,115922.0,3.0,17
413,André_Schürrle,Fulham,316359.0,3.0,14
414,Ken_Sema,Watford,5736.0,3.0,20
415,Jean_Seri,Fulham,95248.0,3.0,14
416,Ryan_Sessegnon,Fulham,472564.0,3.0,14
417,Xherdan_Shaqiri,Liverpool,360763.0,3.0,5
418,Luke_Shaw,Manchester Utd,162866.0,2.0,16
419,Jonjo_Shelvey,Newcastle Utd,51885.0,3.0,6
